CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate
59,2011-06-04,USD,EUR,0.9704
60,2011-06-04,USD,FRF,6.3654
61,2011-06-04,USD,GBP,0.6185
62,2011-06-04,USD,JPY,106.11
63,2011-06-04,USD,MXN,9.335
64,2011-06-04,USD,SAR,3.7507
65,2011-06-04,USD,VEB,636.25
66,2011-06-05,USD,ARS,1.0
67,2011-06-05,USD,AUD,1.5642
68,2011-06-05,USD,BRL,1.933
69,2011-06-05,USD,CAD,1.4641
70,2011-06-05,USD,CNY,8.2784
71,2011-06-05,USD,DEM,1.9007
72,2011-06-05,USD,EUR,0.9718
73,2011-06-05,USD,FRF,6.3746
74,2011-06-05,USD,GBP,0.6179
75,2011-06-05,USD,JPY,106.42
76,2011-06-05,USD,MXN,9.335
77,2011-06-05,USD,SAR,3.7507
78,2011-06-05,USD,VEB,636.25
79,2011-06-06,USD,ARS,1.0
80,2011-06-06,USD,AUD,1.5645
81,2011-06-06,USD,BRL,1.933
82,2011-06-06,USD,CAD,1.4621
83,2011-06-06,USD,CNY,8.2784
84,2011-06-06,USD,DEM,1.8987
85,2011-06-06,USD,EUR,0.9708
86,2011-06-06,USD,FRF,6.3678
87,2011-06-06,USD,GBP,0.6177
88,2011-06-06,USD,JPY,106.38
89,2011-06-06,USD,MXN,9.335
90,2011-06-06,USD,SAR,3.7509
91,2011-06-06,USD,VEB,636.25
92,2011-06-07,USD,ARS,1.0
93,2011-06-07,USD,AUD,1.5679
94,2011-06-07,USD,BRL,1.933
95,2011-06-07,USD,CAD,1.4623
96,2011-06-07,USD,CNY,8.2784
97,2011-06-07,USD,DEM,1.8965
98,2011-06-07,USD,EUR,0.9697
99,2011-06-07,USD,FRF,6.3605
100,2011-06-07,USD,GBP,0.6171
101,2011-06-07,USD,JPY,105.74
102,2011-06-07,USD,MXN,9.325
103,2011-06-07,USD,SAR,3.7507
104,2011-06-07,USD,VEB,636.3999
105,2011-06-08,USD,ARS,1.0
106,2011-06-08,USD,AUD,1.5726
107,2011-06-08,USD,BRL,1.933
108,2011-06-08,USD,CAD,1.4658
109,2011-06-08,USD,CNY,8.2783
110,2011-06-08,USD,DEM,1.8967
111,2011-06-08,USD,EUR,0.9697
112,2011-06-08,USD,FRF,6.3611
113,2011-06-08,USD,GBP,0.6159
114,2011-06-08,USD,JPY,104.47
115,2011-06-08,USD,MXN,9.3399
116,2011-06-08,USD,SAR,3.7507
117,2011-06-08,USD,VEB,636.75
118,2011-06-09,USD,ARS,1.0
119,2011-06-09,USD,AUD,1.581
120,2011-06-09,USD,BRL,1.929
121,2011-06-09,USD,CAD,1.4678
122,2011-06-09,USD,CNY,8.2783
123,2011-06-09,USD,DEM,1.9117
124,2011-06-09,USD,EUR,0.9774
125,2011-06-09,USD,FRF,6.4115
126,2011-06-09,USD,GBP,0.6191
127,2011-06-09,USD,JPY,104.56
128,2011-06-09,USD,MXN,9.307
129,2011-06-09,USD,SAR,3.7507
130,2011-06-09,USD,VEB,637.25
131,2011-06-10,USD,ARS,1.0
132,2011-06-10,USD,AUD,1.5768
133,2011-06-10,USD,BRL,1.9299
134,2011-06-10,USD,CAD,1.4679
135,2011-06-10,USD,CNY,8.237
136,2011-06-10,USD,DEM,1.9192
137,2011-06-10,USD,EUR,0.9812
138,2011-06-10,USD,FRF,6.4366
139,2011-06-10,USD,GBP,0.6202
140,2011-06-10,USD,JPY,104.41
141,2011-06-10,USD,MXN,9.31
142,2011-06-10,USD,SAR,3.7507
143,2011-06-10,USD,VEB,637.5
144,2011-06-11,USD,ARS,1.0
145,2011-06-11,USD,AUD,1.5701
146,2011-06-11,USD,BRL,1.9265
147,2011-06-11,USD,CAD,1.4672
148,2011-06-11,USD,CNY,8.237
149,2011-06-11,USD,DEM,1.9292
150,2011-06-11,USD,EUR,0.9864
151,2011-06-11,USD,FRF,6.4702
152,2011-06-11,USD,GBP,0.6208
153,2011-06-11,USD,JPY,103.99
154,2011-06-11,USD,MXN,9.3599
155,2011-06-11,USD,SAR,3.7505
156,2011-06-11,USD,VEB,637.75
157,2011-06-12,USD,ARS,1.0
158,2011-06-12,USD,AUD,1.5686
159,2011-06-12,USD,BRL,1.9239
160,2011-06-12,USD,CAD,1.4678
161,2011-06-12,USD,CNY,8.237
162,2011-06-12,USD,DEM,1.9231
163,2011-06-12,USD,EUR,0.9832
164,2011-06-12,USD,FRF,6.4499
165,2011-06-12,USD,GBP,0.6231
166,2011-06-12,USD,JPY,101.85
167,2011-06-12,USD,MXN,9.3599
168,2011-06-12,USD,SAR,3.7507
169,2011-06-12,USD,VEB,638.5
170,2011-06-13,USD,ARS,1.0
171,2011-06-13,USD,AUD,1.5769
172,2011-06-13,USD,BRL,1.9239
173,2011-06-13,USD,CAD,1.4683
174,2011-06-13,USD,CNY,8.237
175,2011-06-13,USD,DEM,1.9265
176,2011-06-13,USD,EUR,0.9849
177,2011-06-13,USD,FRF,6.4614
178,2011-06-13,USD,GBP,0.6229
179,2011-06-13,USD,JPY,102.55
180,2011-06-13,USD,MXN,9.3599
181,2011-06-13,USD,SAR,3.7507
182,2011-06-13,USD,VEB,638.5
183,2011-06-14,USD,ARS,1.0
184,2011-06-14,USD,AUD,1.5708
185,2011-06-14,USD,BRL,1.9239
186,2011-06-14,USD,CAD,1.4724
187,2011-06-14,USD,CNY,8.237
188,2011-06-14,USD,DEM,1.9345
189,2011-06-14,USD,EUR,0.989
190,2011-06-14,USD,FRF,6.4882
191,2011-06-14,USD,GBP,0.6238
192,2011-06-14,USD,JPY,102.33
193,2011-06-14,USD,MXN,9.3499
194,2011-06-14,USD,SAR,3.7505
195,2011-06-14,USD,VEB,638.5
196,2011-06-15,USD,ARS,1.0
197,2011-06-15,USD,AUD,1.5741
198,2011-06-15,USD,BRL,1.9239
199,2011-06-15,USD,CAD,1.4742
200,2011-06-15,USD,CNY,8.237
201,2011-06-15,USD,DEM,1.9393
202,2011-06-15,USD,EUR,0.9916
203,2011-06-15,USD,FRF,6.5042
204,2011-06-15,USD,GBP,0.6256
205,2011-06-15,USD,JPY,102.09
206,2011-06-15,USD,MXN,9.3499
207,2011-06-15,USD,SAR,3.7505
208,2011-06-15,USD,VEB,638.5
209,2011-06-16,USD,ARS,1.0
210,2011-06-16,USD,AUD,1.5706
211,2011-06-16,USD,BRL,1.9239
212,2011-06-16,USD,CAD,1.4744
213,2011-06-16,USD,CNY,8.237
214,2011-06-16,USD,DEM,1.9378
215,2011-06-16,USD,EUR,0.9908
216,2011-06-16,USD,FRF,6.4991
217,2011-06-16,USD,GBP,0.6252
218,2011-06-16,USD,JPY,102.34
219,2011-06-16,USD,MXN,9.3499
220,2011-06-16,USD,SAR,3.7505
221,2011-06-16,USD,VEB,638.5
222,2011-06-17,USD,ARS,1.0
223,2011-06-17,USD,AUD,1.5792
224,2011-06-17,USD,BRL,1.9239
225,2011-06-17,USD,CAD,1.48
226,2011-06-17,USD,CNY,8.237
227,2011-06-17,USD,DEM,1.9443
228,2011-06-17,USD,EUR,0.994
229,2011-06-17,USD,FRF,6.521
230,2011-06-17,USD,GBP,0.6254
231,2011-06-17,USD,JPY,102.57
232,2011-06-17,USD,MXN,9.3499
233,2011-06-17,USD,SAR,3.7505
234,2011-06-17,USD,VEB,638.5
235,2011-06-18,USD,ARS,1.0
236,2011-06-18,USD,AUD,1.5823
237,2011-06-18,USD,BRL,1.9239
238,2011-06-18,USD,CAD,1.4802
239,2011-06-18,USD,CNY,8.237
240,2011-06-18,USD,DEM,1.9531
241,2011-06-18,USD,EUR,0.9986
242,2011-06-18,USD,FRF,6.5503
243,2011-06-18,USD,GBP,0.6248
244,2011-06-18,USD,JPY,102.47
245,2011-06-18,USD,MXN,9.3499
246,2011-06-18,USD,SAR,3.7505
247,2011-06-18,USD,VEB,638.5
248,2011-06-19,USD,ARS,1.0
249,2011-06-19,USD,AUD,1.5825
250,2011-06-19,USD,BRL,1.9239
251,2011-06-19,USD,CAD,1.4823
252,2011-06-19,USD,CNY,8.237
253,2011-06-19,USD,DEM,1.9519
254,2011-06-19,USD,EUR,0.998
255,2011-06-19,USD,FRF,6.5465
256,2011-06-19,USD,GBP,0.6248
257,2011-06-19,USD,JPY,102.85
258,2011-06-19,USD,MXN,9.3499
259,2011-06-19,USD,SAR,3.7505
260,2011-06-19,USD,VEB,638.5
261,2011-06-20,USD,ARS,1.0
262,2011-06-20,USD,AUD,1.5808
263,2011-06-20,USD,BRL,1.9239
264,2011-06-20,USD,CAD,1.4795
265,2011-06-20,USD,CNY,8.237
266,2011-06-20,USD,DEM,1.951
267,2011-06-20,USD,EUR,0.9975
268,2011-06-20,USD,FRF,6.5431
269,2011-06-20,USD,GBP,0.6245
270,2011-06-20,USD,JPY,102.705
271,2011-06-20,USD,MXN,9.3499
272,2011-06-20,USD,SAR,3.7505
273,2011-06-20,USD,VEB,638.5
274,2011-06-21,USD,ARS,1.0
275,2011-06-21,USD,AUD,1.58
276,2011-06-21,USD,BRL,1.9239
277,2011-06-21,USD,CAD,1.4799
278,2011-06-21,USD,CNY,8.237
279,2011-06-21,USD,DEM,1.9271
280,2011-06-21,USD,EUR,0.9852
281,2011-06-21,USD,FRF,6.4633
282,2011-06-21,USD,GBP,0.6211
283,2011-06-21,USD,JPY,102.43
284,2011-06-21,USD,MXN,9.3499
285,2011-06-21,USD,SAR,3.7505
286,2011-06-21,USD,VEB,638.5
287,2011-06-22,USD,ARS,1.0
288,2011-06-22,USD,AUD,1.5736
289,2011-06-22,USD,BRL,1.9239
290,2011-06-22,USD,CAD,1.475
291,2011-06-22,USD,CNY,8.237
292,2011-06-22,USD,DEM,1.9128
293,2011-06-22,USD,EUR,0.9779
294,2011-06-22,USD,FRF,6.4151
295,2011-06-22,USD,GBP,0.6159
296,2011-06-22,USD,JPY,102.8
297,2011-06-22,USD,MXN,9.4649
298,2011-06-22,USD,SAR,3.7505
299,2011-06-22,USD,VEB,638.5
300,2011-06-23,USD,ARS,1.0
301,2011-06-23,USD,AUD,1.5686
302,2011-06-23,USD,BRL,1.866
303,2011-06-23,USD,CAD,1.4785
304,2011-06-23,USD,CNY,8.237
305,2011-06-23,USD,DEM,1.9085
306,2011-06-23,USD,EUR,0.9758
307,2011-06-23,USD,FRF,6.4008
308,2011-06-23,USD,GBP,0.6149
309,2011-06-23,USD,JPY,102.815
310,2011-06-23,USD,MXN,9.4619
311,2011-06-23,USD,SAR,3.7507
312,2011-06-23,USD,VEB,642.0099
313,2011-06-24,USD,ARS,1.0
314,2011-06-24,USD,AUD,1.5649
315,2011-06-24,USD,BRL,1.868
316,2011-06-24,USD,CAD,1.4757
317,2011-06-24,USD,CNY,8.237
318,2011-06-24,USD,DEM,1.915
319,2011-06-24,USD,EUR,0.979
320,2011-06-24,USD,FRF,6.4227
321,2011-06-24,USD,GBP,0.6156
322,2011-06-24,USD,JPY,102.96
323,2011-06-24,USD,MXN,9.435
324,2011-06-24,USD,SAR,3.7507
325,2011-06-24,USD,VEB,642.5
326,2011-06-25,USD,ARS,0.9996
327,2011-06-25,USD,AUD,1.5752
328,2011-06-25,USD,BRL,1.866
329,2011-06-25,USD,CAD,1.4779
330,2011-06-25,USD,CNY,8.237
331,2011-06-25,USD,DEM,1.9271
332,2011-06-25,USD,EUR,0.9852
333,2011-06-25,USD,FRF,6.4633
334,2011-06-25,USD,GBP,0.6161
335,2011-06-25,USD,JPY,102.42
336,2011-06-25,USD,MXN,9.4124
337,2011-06-25,USD,SAR,3.7505
338,2011-06-25,USD,VEB,642.75
339,2011-06-26,USD,ARS,0.9996
340,2011-06-26,USD,AUD,1.5768
341,2011-06-26,USD,BRL,1.864
342,2011-06-26,USD,CAD,1.479
343,2011-06-26,USD,CNY,8.237
344,2011-06-26,USD,DEM,1.9301
345,2011-06-26,USD,EUR,0.9869
346,2011-06-26,USD,FRF,6.4734
347,2011-06-26,USD,GBP,0.6166
348,2011-06-26,USD,JPY,102.35
349,2011-06-26,USD,MXN,9.39
350,2011-06-26,USD,SAR,3.7507
351,2011-06-26,USD,VEB,642.5
352,2011-06-27,USD,ARS,0.9996
353,2011-06-27,USD,AUD,1.5743
354,2011-06-27,USD,BRL,1.864
355,2011-06-27,USD,CAD,1.4774
356,2011-06-27,USD,CNY,8.237
357,2011-06-27,USD,DEM,1.9305
358,2011-06-27,USD,EUR,0.987
359,2011-06-27,USD,FRF,6.4748
360,2011-06-27,USD,GBP,0.6168
361,2011-06-27,USD,JPY,102.42
362,2011-06-27,USD,MXN,9.39
363,2011-06-27,USD,SAR,3.7507
364,2011-06-27,USD,VEB,642.5
365,2011-06-28,USD,ARS,0.9996
366,2011-06-28,USD,AUD,1.5743
367,2011-06-28,USD,BRL,1.857
368,2011-06-28,USD,CAD,1.4792
369,2011-06-28,USD,CNY,8.237
370,2011-06-28,USD,DEM,1.9317
371,2011-06-28,USD,EUR,0.9877
372,2011-06-28,USD,FRF,6.4786
373,2011-06-28,USD,GBP,0.616
374,2011-06-28,USD,JPY,102.68
375,2011-06-28,USD,MXN,9.4169
376,2011-06-28,USD,SAR,3.7507
377,2011-06-28,USD,VEB,643.0
378,2011-06-29,USD,ARS,0.9996
379,2011-06-29,USD,AUD,1.5741
380,2011-06-29,USD,BRL,1.848
381,2011-06-29,USD,CAD,1.4812
382,2011-06-29,USD,CNY,8.2794
383,2011-06-29,USD,DEM,1.9441
384,2011-06-29,USD,EUR,0.9939
385,2011-06-29,USD,FRF,6.5204
386,2011-06-29,USD,GBP,0.619
387,2011-06-29,USD,JPY,103.36
388,2011-06-29,USD,MXN,9.4139
389,2011-06-29,USD,SAR,3.7507
390,2011-06-29,USD,VEB,643.8999
391,2011-06-30,USD,ARS,0.9996
392,2011-06-30,USD,AUD,1.5748
393,2011-06-30,USD,BRL,1.852
394,2011-06-30,USD,CAD,1.4842
395,2011-06-30,USD,CNY,8.2794
396,2011-06-30,USD,DEM,1.949
397,2011-06-30,USD,EUR,0.9965
398,2011-06-30,USD,FRF,6.5366
399,2011-06-30,USD,GBP,0.6226
400,2011-06-30,USD,JPY,103.58
401,2011-06-30,USD,MXN,9.3819
402,2011-06-30,USD,SAR,3.7507
403,2011-06-30,USD,VEB,644.0
404,2011-07-01,USD,ARS,0.9996
405,2011-07-01,USD,AUD,1.5601
406,2011-07-01,USD,BRL,1.8425
407,2011-07-01,USD,CAD,1.4782
408,2011-07-01,USD,CNY,8.2794
409,2011-07-01,USD,DEM,1.928
410,2011-07-01,USD,EUR,0.9858
411,2011-07-01,USD,FRF,6.4664
412,2011-07-01,USD,GBP,0.6198
413,2011-07-01,USD,JPY,103.0
414,2011-07-01,USD,MXN,9.365
415,2011-07-01,USD,SAR,3.7505
416,2011-07-01,USD,VEB,644.0
417,2011-07-02,USD,ARS,0.9996
418,2011-07-02,USD,AUD,1.5564
419,2011-07-02,USD,BRL,1.8169
420,2011-07-02,USD,CAD,1.4778
421,2011-07-02,USD,CNY,8.2794
422,2011-07-02,USD,DEM,1.9145
423,2011-07-02,USD,EUR,0.9788
424,2011-07-02,USD,FRF,6.4208
425,2011-07-02,USD,GBP,0.6205
426,2011-07-02,USD,JPY,103.1
427,2011-07-02,USD,MXN,9.3399
428,2011-07-02,USD,SAR,3.7505
429,2011-07-02,USD,VEB,644.25
430,2011-07-03,USD,ARS,0.9996
431,2011-07-03,USD,AUD,1.5564
432,2011-07-03,USD,BRL,1.8109
433,2011-07-03,USD,CAD,1.4755
434,2011-07-03,USD,CNY,8.2794
435,2011-07-03,USD,DEM,1.9413
436,2011-07-03,USD,EUR,0.9926
437,2011-07-03,USD,FRF,6.5106
438,2011-07-03,USD,GBP,0.6231
439,2011-07-03,USD,JPY,103.28
440,2011-07-03,USD,MXN,9.3399
441,2011-07-03,USD,SAR,3.7507
442,2011-07-03,USD,VEB,644.05
443,2011-07-04,USD,ARS,0.9996
444,2011-07-04,USD,AUD,1.5564
445,2011-07-04,USD,BRL,1.8109
446,2011-07-04,USD,CAD,1.4777
447,2011-07-04,USD,CNY,8.2794
448,2011-07-04,USD,DEM,1.94
449,2011-07-04,USD,EUR,0.9919
450,2011-07-04,USD,FRF,6.5068
451,2011-07-04,USD,GBP,0.6228
452,2011-07-04,USD,JPY,103.17
453,2011-07-04,USD,MXN,9.3399
454,2011-07-04,USD,SAR,3.7507
455,2011-07-04,USD,VEB,644.05
456,2011-07-05,USD,ARS,0.9996
457,2011-07-05,USD,AUD,1.5579
458,2011-07-05,USD,BRL,1.8109
459,2011-07-05,USD,CAD,1.4801
460,2011-07-05,USD,CNY,8.2794
461,2011-07-05,USD,DEM,1.9399
462,2011-07-05,USD,EUR,0.9919
463,2011-07-05,USD,FRF,6.5061
464,2011-07-05,USD,GBP,0.6225
465,2011-07-05,USD,JPY,102.91
466,2011-07-05,USD,MXN,9.3399
467,2011-07-05,USD,SAR,3.7507
468,2011-07-05,USD,VEB,644.05
469,2011-07-06,USD,ARS,0.9996
470,2011-07-06,USD,AUD,1.5551
471,2011-07-06,USD,BRL,1.827
472,2011-07-06,USD,CAD,1.4802
473,2011-07-06,USD,CNY,8.2794
474,2011-07-06,USD,DEM,1.9374
475,2011-07-06,USD,EUR,0.9906
476,2011-07-06,USD,FRF,6.4977
477,2011-07-06,USD,GBP,0.6212
478,2011-07-06,USD,JPY,102.2
479,2011-07-06,USD,MXN,9.319
480,2011-07-06,USD,SAR,3.7507
481,2011-07-06,USD,VEB,644.25
482,2011-07-07,USD,ARS,0.9996
483,2011-07-07,USD,AUD,1.5516
484,2011-07-07,USD,BRL,1.821
485,2011-07-07,USD,CAD,1.4772
486,2011-07-07,USD,CNY,8.2794
487,2011-07-07,USD,DEM,1.9402
488,2011-07-07,USD,EUR,0.992
489,2011-07-07,USD,FRF,6.5075
490,2011-07-07,USD,GBP,0.621
491,2011-07-07,USD,JPY,101.72
492,2011-07-07,USD,MXN,9.317
493,2011-07-07,USD,SAR,3.7505
494,2011-07-07,USD,VEB,645.0099
495,2011-07-08,USD,ARS,0.9996
496,2011-07-08,USD,AUD,1.5528
497,2011-07-08,USD,BRL,1.83
498,2011-07-08,USD,CAD,1.4755
499,2011-07-08,USD,CNY,8.2795
500,2011-07-08,USD,DEM,1.9379
501,2011-07-08,USD,EUR,0.9909
502,2011-07-08,USD,FRF,6.4997
503,2011-07-08,USD,GBP,0.6211
504,2011-07-08,USD,JPY,101.65
505,2011-07-08,USD,MXN,9.38
506,2011-07-08,USD,SAR,3.7505
507,2011-07-08,USD,VEB,645.5
508,2011-07-09,USD,ARS,0.9996
509,2011-07-09,USD,AUD,1.5551
510,2011-07-09,USD,BRL,1.833
511,2011-07-09,USD,CAD,1.47
512,2011-07-09,USD,CNY,8.2794
513,2011-07-09,USD,DEM,1.9301
514,2011-07-09,USD,EUR,0.9869
515,2011-07-09,USD,FRF,6.4734
516,2011-07-09,USD,GBP,0.6182
517,2011-07-09,USD,JPY,102.8
518,2011-07-09,USD,MXN,9.425
519,2011-07-09,USD,SAR,3.7505
520,2011-07-09,USD,VEB,646.0099
521,2011-07-10,USD,ARS,0.9996
522,2011-07-10,USD,AUD,1.5549
523,2011-07-10,USD,BRL,1.832
524,2011-07-10,USD,CAD,1.4679
525,2011-07-10,USD,CNY,8.2794
526,2011-07-10,USD,DEM,1.9298
527,2011-07-10,USD,EUR,0.9867
528,2011-07-10,USD,FRF,6.4722
529,2011-07-10,USD,GBP,0.618
530,2011-07-10,USD,JPY,102.94
531,2011-07-10,USD,MXN,9.435
532,2011-07-10,USD,SAR,3.7505
533,2011-07-10,USD,VEB,646.25
534,2011-07-11,USD,ARS,0.9996
535,2011-07-11,USD,AUD,1.5538
536,2011-07-11,USD,BRL,1.832
537,2011-07-11,USD,CAD,1.468
538,2011-07-11,USD,CNY,8.2794
539,2011-07-11,USD,DEM,1.9317
540,2011-07-11,USD,EUR,0.9877
541,2011-07-11,USD,FRF,6.4786
542,2011-07-11,USD,GBP,0.6191
543,2011-07-11,USD,JPY,102.91
544,2011-07-11,USD,MXN,9.435
545,2011-07-11,USD,SAR,3.7505
546,2011-07-11,USD,VEB,646.25
547,2011-07-12,USD,ARS,0.9996
548,2011-07-12,USD,AUD,1.5528
549,2011-07-12,USD,BRL,1.8285
550,2011-07-12,USD,CAD,1.464
551,2011-07-12,USD,CNY,8.2796
552,2011-07-12,USD,DEM,1.9311
553,2011-07-12,USD,EUR,0.9874
554,2011-07-12,USD,FRF,6.4767
555,2011-07-12,USD,GBP,0.6192
556,2011-07-12,USD,JPY,102.54
557,2011-07-12,USD,MXN,9.4755
558,2011-07-12,USD,SAR,3.7505
559,2011-07-12,USD,VEB,647.0
560,2011-07-13,USD,ARS,0.9996
561,2011-07-13,USD,AUD,1.5528
562,2011-07-13,USD,BRL,1.8285
563,2011-07-13,USD,CAD,1.464
564,2011-07-13,USD,CNY,8.2796
565,2011-07-13,USD,DEM,1.9311
566,2011-07-13,USD,EUR,0.9874
567,2011-07-13,USD,FRF,6.4767
568,2011-07-13,USD,GBP,0.6192
569,2011-07-13,USD,JPY,102.54
570,2011-07-13,USD,MXN,9.4755
571,2011-07-13,USD,SAR,3.7505
572,2011-07-13,USD,VEB,647.0
573,2011-07-14,USD,ARS,0.9999
574,2011-07-14,USD,AUD,1.548
575,2011-07-14,USD,BRL,1.83
576,2011-07-14,USD,CAD,1.4509
577,2011-07-14,USD,CNY,8.2805
578,2011-07-14,USD,DEM,1.9427
579,2011-07-14,USD,EUR,0.9932
580,2011-07-14,USD,FRF,6.5155
581,2011-07-14,USD,GBP,0.6195
582,2011-07-14,USD,JPY,102.4
583,2011-07-14,USD,MXN,9.4656
584,2011-07-14,USD,SAR,3.7505
585,2011-07-14,USD,VEB,648.0
586,2011-07-15,USD,ARS,0.9998
587,2011-07-15,USD,AUD,1.5367
588,2011-07-15,USD,BRL,1.81
589,2011-07-15,USD,CAD,1.4529
590,2011-07-15,USD,CNY,8.2803
591,2011-07-15,USD,DEM,1.9479
592,2011-07-15,USD,EUR,0.9959
593,2011-07-15,USD,FRF,6.5328
594,2011-07-15,USD,GBP,0.6186
595,2011-07-15,USD,JPY,102.229
596,2011-07-15,USD,MXN,9.5061
597,2011-07-15,USD,SAR,3.7505
598,2011-07-15,USD,VEB,648.25
599,2011-07-16,USD,ARS,0.9999
600,2011-07-16,USD,AUD,1.5367
601,2011-07-16,USD,BRL,1.81
602,2011-07-16,USD,CAD,1.4529
603,2011-07-16,USD,CNY,8.2803
604,2011-07-16,USD,DEM,1.9479
605,2011-07-16,USD,EUR,0.9959
606,2011-07-16,USD,FRF,6.5328
607,2011-07-16,USD,GBP,0.6186
608,2011-07-16,USD,JPY,102.229
609,2011-07-16,USD,MXN,9.5061
610,2011-07-16,USD,SAR,3.7505
611,2011-07-16,USD,VEB,648.25
612,2011-07-17,USD,ARS,0.9999
613,2011-07-17,USD,AUD,1.5237
614,2011-07-17,USD,BRL,1.8069
615,2011-07-17,USD,CAD,1.4464
616,2011-07-17,USD,CNY,8.2803
617,2011-07-17,USD,DEM,1.9421
618,2011-07-17,USD,EUR,0.9929
619,2011-07-17,USD,FRF,6.514
620,2011-07-17,USD,GBP,0.6181
621,2011-07-17,USD,JPY,102.31
622,2011-07-17,USD,MXN,9.49
623,2011-07-17,USD,SAR,3.7509
624,2011-07-17,USD,VEB,649.0
625,2011-07-18,USD,ARS,0.9999
626,2011-07-18,USD,AUD,1.5256
627,2011-07-18,USD,BRL,1.8069
628,2011-07-18,USD,CAD,1.446
629,2011-07-18,USD,CNY,8.2803
630,2011-07-18,USD,DEM,1.9451
631,2011-07-18,USD,EUR,0.9945
632,2011-07-18,USD,FRF,6.5236
633,2011-07-18,USD,GBP,0.6185
634,2011-07-18,USD,JPY,102.21
635,2011-07-18,USD,MXN,9.5199
636,2011-07-18,USD,SAR,3.7507
637,2011-07-18,USD,VEB,649.25
638,2011-07-19,USD,ARS,0.9999
639,2011-07-19,USD,AUD,1.524
640,2011-07-19,USD,BRL,1.8069
641,2011-07-19,USD,CAD,1.4461
642,2011-07-19,USD,CNY,8.2803
643,2011-07-19,USD,DEM,1.9453
644,2011-07-19,USD,EUR,0.9946
645,2011-07-19,USD,FRF,6.5243
646,2011-07-19,USD,GBP,0.6185
647,2011-07-19,USD,JPY,102.2
648,2011-07-19,USD,MXN,9.5199
649,2011-07-19,USD,SAR,3.7505
650,2011-07-19,USD,VEB,649.25
651,2011-07-20,USD,ARS,0.9999
652,2011-07-20,USD,AUD,1.5201
653,2011-07-20,USD,BRL,1.8149
654,2011-07-20,USD,CAD,1.4469
655,2011-07-20,USD,CNY,8.2805
656,2011-07-20,USD,DEM,1.9071
657,2011-07-20,USD,EUR,0.975
658,2011-07-20,USD,FRF,6.3962
659,2011-07-20,USD,GBP,0.6109
660,2011-07-20,USD,JPY,101.65
661,2011-07-20,USD,MXN,9.41
662,2011-07-20,USD,SAR,3.7507
663,2011-07-20,USD,VEB,649.75
664,2011-07-21,USD,ARS,0.9999
665,2011-07-21,USD,AUD,1.5271
666,2011-07-21,USD,BRL,1.85
667,2011-07-21,USD,CAD,1.4521
668,2011-07-21,USD,CNY,8.2806
669,2011-07-21,USD,DEM,1.8977
670,2011-07-21,USD,EUR,0.9703
671,2011-07-21,USD,FRF,6.3651
672,2011-07-21,USD,GBP,0.6114
