SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,PurchaseOrderNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue
43670,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14384116310,29566,275.0,3,810,810,5,,6122.082,587.5603,183.6126,6893.2549
43671,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13978119376,29890,283.0,1,855,855,5,,8128.7876,780.8136,244.0042,9153.6054
43672,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13862153537,30067,282.0,6,464,464,5,4.0,6124.182,587.6023,183.6257,6895.41
43673,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13775141242,29844,275.0,2,821,821,5,,3746.2015,357.9614,111.8629,4216.0258
43674,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO12760141756,29596,282.0,6,458,458,5,4.0,2624.382,251.9407,78.7315,2955.0542
43675,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO12412186464,29827,277.0,3,631,631,5,,5716.3102,546.8759,170.8987,6434.0848
43676,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO11861165059,29811,275.0,5,755,755,5,,14203.458,1363.266,426.0206,15992.7446
43677,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO11049174786,29824,278.0,6,556,556,5,4.0,7793.1108,747.1011,233.4691,8773.681
43678,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10817150168,29889,281.0,4,1021,1021,5,,9799.9243,942.074,294.3981,11036.3964
43679,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10527142759,29761,278.0,6,525,525,5,4.0,1316.0575,125.8032,39.3135,1481.1742
43680,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10730130087,29489,281.0,4,1069,1069,5,,11397.4992,1093.6394,341.7623,12832.9009
43681,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO1189177803,29661,279.0,5,955,955,5,,13787.5434,1323.0668,413.4584,15524.0686
43682,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO1566124200,29759,275.0,2,808,808,5,,3875.7229,371.8002,116.1876,4363.7107
43683,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO2552113807,29497,283.0,1,889,889,5,,42813.4333,4107.1489,1283.484,48204.0662
43684,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO3393188842,29912,279.0,5,971,971,5,,5596.4705,537.2612,167.8941,6301.6258
43685,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO4176124783,30084,279.0,5,958,958,5,,2736.5678,263.201,82.2503,3082.0191
43686,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5075125561,29606,283.0,1,871,871,5,,3463.2998,332.4768,103.899,3899.6756
43687,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO4959110829,29610,275.0,2,783,783,5,,1258.3767,120.8042,37.7513,1416.9322
43688,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5365136389,29718,275.0,2,771,771,5,,12718.0844,1222.8838,382.1512,14323.1194
43689,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5626159507,29646,277.0,4,578,578,5,,33997.3702,3271.4942,1022.3419,38291.2063
43690,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO6235146326,29533,275.0,3,801,801,5,,1297.5901,124.2027,38.8133,1460.6061
43691,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO6409111675,29570,277.0,4,592,592,5,,874.794,83.9802,26.2438,985.018
43692,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO7859187017,29992,281.0,4,1024,1024,5,,38510.8973,3696.3979,1155.1244,43362.4196
43693,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO8120182325,29491,275.0,5,807,807,5,,20541.4072,1969.5564,615.4864,23126.45
43694,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO9657130250,29549,279.0,5,943,943,5,,20645.634,1978.3257,618.2268,23242.1865
43695,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10179176559,29958,279.0,5,911,911,5,,39373.781,3787.4632,1183.5823,44344.8265
43696,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO9947131800,29849,279.0,5,977,977,5,,419.4589,40.2681,12.5838,472.3108
43697,8,2011-05-31,2011-06-12,2011-06-07,5,True,,21768,,6,23148,23148,1,4.0,3578.27,286.2616,89.4568,3953.9884
43698,8,2011-05-31,2011-06-12,2011-06-07,5,True,,28389,,7,24593,24593,1,8.0,3399.99,271.9992,84.9998,3756.989
43699,8,2011-05-31,2011-06-12,2011-06-07,5,True,,25863,,1,19613,19613,1,,3399.99,271.9992,84.9998,3756.989
43700,8,2011-05-31,2011-06-12,2011-06-07,5,True,,14501,,4,20278,20278,1,,699.0982,55.9279,17.4775,772.5036
43701,8,2011-05-31,2011-06-12,2011-06-07,5,True,,11003,,9,20425,20425,1,2.0,3399.99,271.9992,84.9998,3756.989
43702,8,2011-06-01,2011-06-13,2011-06-08,5,True,,27645,,4,22584,22584,1,,3578.27,286.2616,89.4568,3953.9884
43703,8,2011-06-01,2011-06-13,2011-06-08,5,True,,16624,,9,23967,23967,1,15.0,3578.27,286.2616,89.4568,3953.9884
43704,8,2011-06-01,2011-06-13,2011-06-08,5,True,,11005,,9,16025,16025,1,15.0,3374.99,269.9992,84.3748,3729.364
43705,8,2011-06-01,2011-06-13,2011-06-08,5,True,,11011,,9,27345,27345,1,15.0,3399.99,271.9992,84.9998,3756.989
43706,8,2011-06-02,2011-06-14,2011-06-09,5,True,,27621,,4,13264,13264,1,,3578.27,286.2616,89.4568,3953.9884
43707,8,2011-06-02,2011-06-14,2011-06-09,5,True,,27616,,4,20923,20923,1,,3578.27,286.2616,89.4568,3953.9884
43708,8,2011-06-02,2011-06-14,2011-06-09,5,True,,20042,,10,18427,18427,1,35.0,699.0982,55.9279,17.4775,772.5036
43709,8,2011-06-02,2011-06-14,2011-06-09,5,True,,16351,,9,13951,13951,1,28.0,3578.27,286.2616,89.4568,3953.9884
43710,8,2011-06-02,2011-06-14,2011-06-09,5,True,,16517,,9,25446,25446,1,28.0,3578.27,286.2616,89.4568,3953.9884
43711,8,2011-06-03,2011-06-15,2011-06-10,5,True,,27606,,1,18404,18404,1,,3578.27,286.2616,89.4568,3953.9884
43712,8,2011-06-03,2011-06-15,2011-06-10,5,True,,13513,,8,21867,21867,1,45.0,3578.27,286.2616,89.4568,3953.9884
43713,8,2011-06-04,2011-06-16,2011-06-11,5,True,,27601,,4,11855,11855,1,,3578.27,286.2616,89.4568,3953.9884
43714,8,2011-06-04,2011-06-16,2011-06-11,5,True,,13591,,10,15169,15169,1,61.0,3578.27,286.2616,89.4568,3953.9884
43715,8,2011-06-04,2011-06-16,2011-06-11,5,True,,16483,,9,28213,28213,1,54.0,3578.27,286.2616,89.4568,3953.9884
43716,8,2011-06-04,2011-06-16,2011-06-11,5,True,,16529,,9,23557,23557,1,54.0,3578.27,286.2616,89.4568,3953.9884
43717,8,2011-06-04,2011-06-16,2011-06-11,5,True,,25249,,9,11809,11809,1,54.0,699.0982,55.9279,17.4775,772.5036
43718,8,2011-06-05,2011-06-17,2011-06-12,5,True,,27668,,1,25346,25346,1,,3578.27,286.2616,89.4568,3953.9884
43719,8,2011-06-05,2011-06-17,2011-06-12,5,True,,27612,,4,13854,13854,1,,3578.27,286.2616,89.4568,3953.9884
43720,8,2011-06-05,2011-06-17,2011-06-12,5,True,,13264,,8,18584,18584,1,71.0,3578.27,286.2616,89.4568,3953.9884
43721,8,2011-06-05,2011-06-17,2011-06-12,5,True,,13590,,10,22146,22146,1,74.0,3578.27,286.2616,89.4568,3953.9884
43722,8,2011-06-06,2011-06-18,2011-06-13,5,True,,13581,,10,23990,23990,1,87.0,3578.27,286.2616,89.4568,3953.9884
43723,8,2011-06-06,2011-06-18,2011-06-13,5,True,,14520,,1,12708,12708,1,,699.0982,55.9279,17.4775,772.5036
43724,8,2011-06-06,2011-06-18,2011-06-13,5,True,,16520,,9,25572,25572,1,80.0,3578.27,286.2616,89.4568,3953.9884
43725,8,2011-06-07,2011-06-19,2011-06-14,5,True,,13258,,8,23444,23444,1,97.0,3578.27,286.2616,89.4568,3953.9884
43726,8,2011-06-07,2011-06-19,2011-06-14,5,True,,14560,,4,25989,25989,1,,699.0982,55.9279,17.4775,772.5036
43727,8,2011-06-07,2011-06-19,2011-06-14,5,True,,16607,,9,15502,15502,1,93.0,3578.27,286.2616,89.4568,3953.9884
43728,8,2011-06-08,2011-06-20,2011-06-15,5,True,,27666,,4,20616,20616,1,,3578.27,286.2616,89.4568,3953.9884
43729,8,2011-06-08,2011-06-20,2011-06-15,5,True,,11238,,10,12420,12420,1,113.0,3399.99,271.9992,84.9998,3756.989
43730,8,2011-06-08,2011-06-20,2011-06-15,5,True,,25861,,4,23733,23733,1,,3399.99,271.9992,84.9998,3756.989
43731,8,2011-06-08,2011-06-20,2011-06-15,5,True,,16629,,9,14019,14019,1,106.0,3578.27,286.2616,89.4568,3953.9884
43732,8,2011-06-08,2011-06-20,2011-06-15,5,True,,11025,,9,21635,21635,1,106.0,3374.99,269.9992,84.3748,3729.364
43733,8,2011-06-08,2011-06-20,2011-06-15,5,True,,27577,,1,24572,24572,1,,3578.27,286.2616,89.4568,3953.9884
43734,8,2011-06-09,2011-06-21,2011-06-16,5,True,,27604,,1,23224,23224,1,,3578.27,286.2616,89.4568,3953.9884
43735,8,2011-06-09,2011-06-21,2011-06-16,5,True,,16522,,9,25384,25384,1,119.0,3578.27,286.2616,89.4568,3953.9884
43736,8,2011-06-09,2011-06-21,2011-06-16,5,True,,11002,,9,20336,20336,1,119.0,3399.99,271.9992,84.9998,3756.989
43737,8,2011-06-10,2011-06-22,2011-06-17,5,True,,13261,,8,29772,29772,1,136.0,3578.27,286.2616,89.4568,3953.9884
43738,8,2011-06-10,2011-06-22,2011-06-17,5,True,,11606,,7,26167,26167,1,138.0,3578.27,286.2616,89.4568,3953.9884
43739,8,2011-06-10,2011-06-22,2011-06-17,5,True,,13563,,10,29262,29262,1,139.0,3578.27,286.2616,89.4568,3953.9884
43740,8,2011-06-10,2011-06-22,2011-06-17,5,True,,16527,,9,28420,28420,1,132.0,3578.27,286.2616,89.4568,3953.9884
43741,8,2011-06-11,2011-06-23,2011-06-18,5,True,,27671,,1,13036,13036,1,,3578.27,286.2616,89.4568,3953.9884
43742,8,2011-06-11,2011-06-23,2011-06-18,5,True,,13576,,10,20966,20966,1,152.0,3578.27,286.2616,89.4568,3953.9884
43743,8,2011-06-11,2011-06-23,2011-06-18,5,True,,11007,,9,12909,12909,1,145.0,3399.99,271.9992,84.9998,3756.989
43744,8,2011-06-11,2011-06-23,2011-06-18,5,True,,16631,,9,12423,12423,1,145.0,3578.27,286.2616,89.4568,3953.9884
43745,8,2011-06-12,2011-06-24,2011-06-19,5,True,,16514,,9,25018,25018,1,158.0,3578.27,286.2616,89.4568,3953.9884
43746,8,2011-06-12,2011-06-24,2011-06-19,5,True,,16616,,9,28214,28214,1,158.0,3578.27,286.2616,89.4568,3953.9884
43747,8,2011-06-13,2011-06-25,2011-06-20,5,True,,27623,,4,27241,27241,1,,3578.27,286.2616,89.4568,3953.9884
43748,8,2011-06-13,2011-06-25,2011-06-20,5,True,,27625,,1,16663,16663,1,,3578.27,286.2616,89.4568,3953.9884
43749,8,2011-06-13,2011-06-25,2011-06-20,5,True,,27636,,1,17878,17878,1,,3578.27,286.2616,89.4568,3953.9884
43750,8,2011-06-13,2011-06-25,2011-06-20,5,True,,11591,,7,26694,26694,1,177.0,3578.27,286.2616,89.4568,3953.9884
43751,8,2011-06-13,2011-06-25,2011-06-20,5,True,,11592,,7,17421,17421,1,177.0,3578.27,286.2616,89.4568,3953.9884
43752,8,2011-06-13,2011-06-25,2011-06-20,5,True,,13265,,8,25970,25970,1,175.0,3578.27,286.2616,89.4568,3953.9884
43753,8,2011-06-13,2011-06-25,2011-06-20,5,True,,16482,,9,19434,19434,1,171.0,3578.27,286.2616,89.4568,3953.9884
43754,8,2011-06-14,2011-06-26,2011-06-21,5,True,,27617,,1,18700,18700,1,,3578.27,286.2616,89.4568,3953.9884
43755,8,2011-06-14,2011-06-26,2011-06-21,5,True,,27670,,4,21785,21785,1,,3578.27,286.2616,89.4568,3953.9884
43756,8,2011-06-14,2011-06-26,2011-06-21,5,True,,19941,,10,12565,12565,1,191.0,699.0982,55.9279,17.4775,772.5036
43757,8,2011-06-14,2011-06-26,2011-06-21,5,True,,11017,,9,11541,11541,1,184.0,3374.99,269.9992,84.3748,3729.364
43758,8,2011-06-15,2011-06-27,2011-06-22,5,True,,27646,,4,14400,14400,1,,3578.27,286.2616,89.4568,3953.9884
43759,8,2011-06-15,2011-06-27,2011-06-22,5,True,,13257,,8,21516,21516,1,201.0,3578.27,286.2616,89.4568,3953.9884
43760,8,2011-06-15,2011-06-27,2011-06-22,5,True,,16352,,9,11694,11694,1,197.0,3578.27,286.2616,89.4568,3953.9884
43761,8,2011-06-15,2011-06-27,2011-06-22,5,True,,16493,,9,24449,24449,1,197.0,3578.27,286.2616,89.4568,3953.9884
43762,8,2011-06-16,2011-06-28,2011-06-23,5,True,,27578,,4,19011,19011,1,,3578.27,286.2616,89.4568,3953.9884
43763,8,2011-06-16,2011-06-28,2011-06-23,5,True,,16525,,9,13961,13961,1,210.0,3578.27,286.2616,89.4568,3953.9884
43764,8,2011-06-16,2011-06-28,2011-06-23,5,True,,16612,,9,18740,18740,1,210.0,3578.27,286.2616,89.4568,3953.9884
43765,8,2011-06-16,2011-06-28,2011-06-23,5,True,,11010,,9,15412,15412,1,210.0,3399.99,271.9992,84.9998,3756.989
43766,8,2011-06-17,2011-06-29,2011-06-24,5,True,,16518,,9,26446,26446,1,223.0,3578.27,286.2616,89.4568,3953.9884
43767,8,2011-06-17,2011-06-29,2011-06-24,5,True,,11001,,9,14489,14489,1,223.0,3374.99,269.9992,84.3748,3729.364
43768,8,2011-06-18,2011-06-30,2011-06-25,5,True,,27649,,1,24209,24209,1,,3578.27,286.2616,89.4568,3953.9884
43769,8,2011-06-18,2011-06-30,2011-06-25,5,True,,21659,,6,12365,12365,1,238.0,3578.27,286.2616,89.4568,3953.9884
43770,8,2011-06-18,2011-06-30,2011-06-25,5,True,,27614,,1,21039,21039,1,,3578.27,286.2616,89.4568,3953.9884
43771,8,2011-06-18,2011-06-30,2011-06-25,5,True,,14559,,4,21657,21657,1,,699.0982,55.9279,17.4775,772.5036
43772,8,2011-06-18,2011-06-30,2011-06-25,5,True,,16524,,9,15700,15700,1,236.0,3578.27,286.2616,89.4568,3953.9884
43773,8,2011-06-18,2011-06-30,2011-06-25,5,True,,16526,,9,19998,19998,1,236.0,3578.27,286.2616,89.4568,3953.9884
43774,8,2011-06-18,2011-06-30,2011-06-25,5,True,,16348,,9,20184,20184,1,236.0,3578.27,286.2616,89.4568,3953.9884
43775,8,2011-06-18,2011-06-30,2011-06-25,5,True,,11027,,9,14561,14561,1,236.0,3399.99,271.9992,84.9998,3756.989
43776,8,2011-06-19,2011-07-01,2011-06-26,5,True,,13260,,8,15402,15402,1,253.0,3578.27,286.2616,89.4568,3953.9884
43777,8,2011-06-19,2011-07-01,2011-06-26,5,True,,16515,,9,24873,24873,1,249.0,3578.27,286.2616,89.4568,3953.9884
43778,8,2011-06-19,2011-07-01,2011-06-26,5,True,,11018,,9,16433,16433,1,249.0,3399.99,271.9992,84.9998,3756.989
43779,8,2011-06-19,2011-07-01,2011-06-26,5,True,,25252,,9,20850,20850,1,249.0,699.0982,55.9279,17.4775,772.5036
43780,8,2011-06-20,2011-07-02,2011-06-27,5,True,,11599,,7,25850,25850,1,268.0,3578.27,286.2616,89.4568,3953.9884
43781,8,2011-06-20,2011-07-02,2011-06-27,5,True,,16495,,9,22857,22857,1,262.0,3578.27,286.2616,89.4568,3953.9884
43782,8,2011-06-20,2011-07-02,2011-06-27,5,True,,16516,,9,13386,13386,1,262.0,3578.27,286.2616,89.4568,3953.9884
43783,8,2011-06-20,2011-07-02,2011-06-27,5,True,,16620,,9,26601,26601,1,262.0,3578.27,286.2616,89.4568,3953.9884
43784,8,2011-06-21,2011-07-03,2011-06-28,5,True,,27667,,4,12491,12491,1,,3578.27,286.2616,89.4568,3953.9884
43785,8,2011-06-21,2011-07-03,2011-06-28,5,True,,11601,,7,17236,17236,1,281.0,3578.27,286.2616,89.4568,3953.9884
43786,8,2011-06-21,2011-07-03,2011-06-28,5,True,,11607,,7,23683,23683,1,281.0,3578.27,286.2616,89.4568,3953.9884
43787,8,2011-06-21,2011-07-03,2011-06-28,5,True,,29385,,8,29348,29348,1,279.0,3399.99,271.9992,84.9998,3756.989
43788,8,2011-06-21,2011-07-03,2011-06-28,5,True,,11239,,10,25489,25489,1,282.0,3374.99,269.9992,84.3748,3729.364
43789,8,2011-06-21,2011-07-03,2011-06-28,5,True,,25865,,1,21950,21950,1,,3374.99,269.9992,84.3748,3729.364
43790,8,2011-06-21,2011-07-03,2011-06-28,5,True,,25857,,1,21871,21871,1,,3399.99,271.9992,84.9998,3756.989
43791,8,2011-06-21,2011-07-03,2011-06-28,5,True,,16484,,9,11580,11580,1,275.0,3578.27,286.2616,89.4568,3953.9884
43792,8,2011-06-21,2011-07-03,2011-06-28,5,True,,16623,,9,14105,14105,1,275.0,3578.27,286.2616,89.4568,3953.9884
43793,8,2011-06-21,2011-07-03,2011-06-28,5,True,,11000,,9,22601,22601,1,275.0,3399.99,271.9992,84.9998,3756.989
43794,8,2011-06-21,2011-07-03,2011-06-28,5,True,,11029,,9,24713,24713,1,275.0,3399.99,271.9992,84.9998,3756.989
43795,8,2011-06-22,2011-07-04,2011-06-29,5,True,,27615,,4,12290,12290,1,,3578.27,286.2616,89.4568,3953.9884
43796,8,2011-06-22,2011-07-04,2011-06-29,5,True,,17956,,7,11860,11860,1,294.0,699.0982,55.9279,17.4775,772.5036
43797,8,2011-06-22,2011-07-04,2011-06-29,5,True,,16345,,9,11578,11578,1,288.0,3578.27,286.2616,89.4568,3953.9884
43798,8,2011-06-22,2011-07-04,2011-06-29,5,True,,16521,,9,17493,17493,1,288.0,3578.27,286.2616,89.4568,3953.9884
43799,8,2011-06-22,2011-07-04,2011-06-29,5,True,,16636,,9,23813,23813,1,288.0,3578.27,286.2616,89.4568,3953.9884
43800,8,2011-06-23,2011-07-05,2011-06-30,5,True,,21710,,6,16244,16244,1,303.0,3578.27,286.2616,89.4568,3953.9884
43801,8,2011-06-23,2011-07-05,2011-06-30,5,True,,13583,,10,22676,22676,1,308.0,3578.27,286.2616,89.4568,3953.9884
43802,8,2011-06-23,2011-07-05,2011-06-30,5,True,,11593,,7,15981,15981,1,307.0,3578.27,286.2616,89.4568,3953.9884
43803,8,2011-06-24,2011-07-06,2011-07-01,5,True,,21741,,6,17092,17092,1,316.0,3578.27,286.2616,89.4568,3953.9884
43804,8,2011-06-24,2011-07-06,2011-07-01,5,True,,13585,,10,18048,18048,1,321.0,3578.27,286.2616,89.4568,3953.9884
43805,8,2011-06-24,2011-07-06,2011-07-01,5,True,,14510,,1,26084,26084,1,,699.0982,55.9279,17.4775,772.5036
43806,8,2011-06-24,2011-07-06,2011-07-01,5,True,,16523,,9,26735,26735,1,314.0,3578.27,286.2616,89.4568,3953.9884
43807,8,2011-06-25,2011-07-07,2011-07-02,5,True,,11611,,7,15499,15499,1,333.0,3578.27,286.2616,89.4568,3953.9884
43808,8,2011-06-25,2011-07-07,2011-07-02,5,True,,13259,,8,24940,24940,1,331.0,3578.27,286.2616,89.4568,3953.9884
43809,8,2011-06-25,2011-07-07,2011-07-02,5,True,,16350,,9,12891,12891,1,327.0,3578.27,286.2616,89.4568,3953.9884
43810,8,2011-06-25,2011-07-07,2011-07-02,5,True,,11004,,9,20971,20971,1,327.0,3399.99,271.9992,84.9998,3756.989
43811,8,2011-06-25,2011-07-07,2011-07-02,5,True,,11026,,9,11877,11877,1,327.0,3399.99,271.9992,84.9998,3756.989
43812,8,2011-06-26,2011-07-08,2011-07-03,5,True,,27662,,4,13852,13852,1,,3578.27,286.2616,89.4568,3953.9884
43813,8,2011-06-26,2011-07-08,2011-07-03,5,True,,28390,,7,16896,16896,1,346.0,3374.99,269.9992,84.3748,3729.364
43814,8,2011-06-26,2011-07-08,2011-07-03,5,True,,25866,,1,21939,21939,1,,3374.99,269.9992,84.3748,3729.364
43815,8,2011-06-26,2011-07-08,2011-07-03,5,True,,16494,,9,15915,15915,1,340.0,3578.27,286.2616,89.4568,3953.9884
43816,8,2011-06-26,2011-07-08,2011-07-03,5,True,,16496,,9,21277,21277,1,340.0,3578.27,286.2616,89.4568,3953.9884
43817,8,2011-06-26,2011-07-08,2011-07-03,5,True,,16519,,9,12674,12674,1,340.0,3578.27,286.2616,89.4568,3953.9884
43818,8,2011-06-26,2011-07-08,2011-07-03,5,True,,16528,,9,16539,16539,1,340.0,3578.27,286.2616,89.4568,3953.9884
43819,8,2011-06-26,2011-07-08,2011-07-03,5,True,,11006,,9,15264,15264,1,340.0,3399.99,271.9992,84.9998,3756.989
43820,8,2011-06-27,2011-07-09,2011-07-04,5,True,,27651,,4,24200,24200,1,,3578.27,286.2616,89.4568,3953.9884
43821,8,2011-06-27,2011-07-09,2011-07-04,5,True,,27663,,4,24836,24836,1,,3578.27,286.2616,89.4568,3953.9884
43822,8,2011-06-27,2011-07-09,2011-07-04,5,True,,27669,,4,20019,20019,1,,3578.27,286.2616,89.4568,3953.9884
43823,8,2011-06-27,2011-07-09,2011-07-04,5,True,,19942,,10,15988,15988,1,360.0,699.0982,55.9279,17.4775,772.5036
43824,8,2011-06-27,2011-07-09,2011-07-04,5,True,,14558,,1,11804,11804,1,,699.0982,55.9279,17.4775,772.5036
43825,8,2011-06-27,2011-07-09,2011-07-04,5,True,,16349,,9,16955,16955,1,353.0,3578.27,286.2616,89.4568,3953.9884
43826,8,2011-06-27,2011-07-09,2011-07-04,5,True,,11008,,9,23743,23743,1,353.0,3374.99,269.9992,84.3748,3729.364
43827,8,2011-06-27,2011-07-09,2011-07-04,5,True,,25250,,9,27524,27524,1,353.0,699.0982,55.9279,17.4775,772.5036
43828,8,2011-06-28,2011-07-10,2011-07-05,5,True,,27605,,1,13129,13129,1,,3578.27,286.2616,89.4568,3953.9884
43829,8,2011-06-28,2011-07-10,2011-07-05,5,True,,27611,,4,24776,24776,1,,3578.27,286.2616,89.4568,3953.9884
43830,8,2011-06-28,2011-07-10,2011-07-05,5,True,,16347,,9,18564,18564,1,366.0,3578.27,286.2616,89.4568,3953.9884
43831,8,2011-06-28,2011-07-10,2011-07-05,5,True,,11028,,9,24158,24158,1,366.0,3374.99,269.9992,84.3748,3729.364
43832,8,2011-06-28,2011-07-10,2011-07-05,5,True,,13584,,10,23837,23837,1,373.0,3578.27,286.2616,89.4568,3953.9884
43833,8,2011-06-29,2011-07-11,2011-07-06,5,True,,21727,,6,16752,16752,1,381.0,3578.27,286.2616,89.4568,3953.9884
43834,8,2011-06-29,2011-07-11,2011-07-06,5,True,,28393,,7,15471,15471,1,385.0,3374.99,269.9992,84.3748,3729.364
43835,8,2011-06-29,2011-07-11,2011-07-06,5,True,,19802,,6,17401,17401,1,381.0,3374.99,269.9992,84.3748,3729.364
43836,8,2011-06-29,2011-07-11,2011-07-06,5,True,,26620,,6,19261,19261,1,381.0,699.0982,55.9279,17.4775,772.5036
43837,8,2011-06-29,2011-07-11,2011-07-06,5,True,,11009,,9,29335,29335,1,379.0,3374.99,269.9992,84.3748,3729.364
43838,8,2011-06-30,2011-07-12,2011-07-07,5,True,,27641,,4,16330,16330,1,,3578.27,286.2616,89.4568,3953.9884
43839,8,2011-06-30,2011-07-12,2011-07-07,5,True,,27673,,1,20037,20037,1,,3578.27,286.2616,89.4568,3953.9884
43840,8,2011-06-30,2011-07-12,2011-07-07,5,True,,17957,,7,25544,25544,1,398.0,699.0982,55.9279,17.4775,772.5036
43841,8,2011-06-30,2011-07-12,2011-07-07,5,True,,13406,,8,28149,28149,1,396.0,3578.27,286.2616,89.4568,3953.9884
43842,8,2011-06-30,2011-07-12,2011-07-07,5,True,,16630,,9,18492,18492,1,392.0,3578.27,286.2616,89.4568,3953.9884
43843,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO19923118772,29955,275.0,3,756,756,5,,32940.1556,3174.1988,991.9371,37106.2915
43844,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO19691138342,29620,282.0,6,503,503,5,407.0,20249.94,1943.9942,607.4982,22801.4324
43845,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO19546184286,29888,279.0,5,930,930,5,,8580.0739,823.6669,257.3959,9661.1367
43846,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO19430112391,29548,278.0,6,498,498,5,407.0,919.5201,90.6637,28.3324,1038.5162
43847,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO19227161888,29539,278.0,6,480,480,5,407.0,908.8209,86.9292,27.1654,1022.9155
43848,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO18908190536,29717,283.0,1,851,851,5,,18269.946,1753.9148,548.0984,20571.9592
43849,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO18676186169,29818,274.0,1,1104,1104,5,,20544.7015,1969.9765,615.6177,23130.2957
43850,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO18415143340,29892,282.0,6,476,476,5,407.0,10183.7952,982.9377,307.168,11473.9009
43851,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO18386167654,29509,275.0,2,816,816,5,,6783.7679,651.4975,203.593,7638.8584
43852,8,2011-07-01,2011-07-13,2011-07-08,5,False,PO17864179720,29855,282.0,6,539,539,5,407.0,2024.994,194.3994,60.7498,2280.1432
